Chidamber-Kemerer metrics,sexta, 3 dez 2021 16:27:51 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jabref.JabRefPreferencesTest,2,1,2,0,8,2
org.jabref.TestIconsProperties,0,1,1,0,23,3
org.jabref.architecture.AllowedToUseAwt,n/a,n/a,n/a,n/a,1,n/a
org.jabref.architecture.AllowedToUseLogic,n/a,n/a,n/a,n/a,1,n/a
org.jabref.architecture.ApacheCommonsLang3Allowed,n/a,n/a,n/a,n/a,1,n/a
org.jabref.architecture.MainArchitectureTests,4,1,9,0,36,12
org.jabref.architecture.TestArchitectureTests,1,1,2,0,20,3
org.jabref.benchmarks.Benchmarks,29,1,2,0,49,13
org.jabref.cli.ArgumentProcessor,61,1,2,0,195,97
org.jabref.cli.ArgumentProcessor.Mode,3,n/a,2,n/a,2,0
org.jabref.cli.AuxCommandLine,8,1,1,0,11,3
org.jabref.cli.AuxCommandLineTest,6,1,1,0,19,2
org.jabref.cli.CrossrefFetcherEvaluator,11,1,1,0,18,8
org.jabref.cli.GenerateCharacterTable,1,1,1,0,10,4
org.jabref.cli.JabRefCLI,8,1,5,0,63,42
org.jabref.cli.JabRefCLITest,1,1,12,0,28,17
org.jabref.cli.SystemOutputPrinter,2,1,1,0,4,3
org.jabref.gui.AbstractViewModel,21,1,0,21,0,0
org.jabref.gui.BasePanelMode,1,n/a,2,n/a,2,0
org.jabref.gui.ClipBoardManager,40,1,1,0,72,26
org.jabref.gui.DefaultInjector,15,1,1,0,17,14
org.jabref.gui.Dialog,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.DialogService,n/a,n/a,n/a,n/a,30,n/a
org.jabref.gui.DragAndDropDataFormats,9,1,0,0,1,0
org.jabref.gui.DragAndDropHelper,2,1,1,0,11,3
org.jabref.gui.EntryTypeView,27,3,1,0,88,18
org.jabref.gui.EntryTypeViewModel,25,1,2,0,76,23
org.jabref.gui.EntryTypeViewModel.FetcherWorker,4,3,1,0,10,2
org.jabref.gui.FXDialog,6,3,1,1,24,10
org.jabref.gui.FallbackExceptionHandler,6,1,2,0,9,2
